code,ano,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,idhm,idhm_long,idhm_educ,idhm_renda,prosp_soc,renda_per_capita,gini
314200,2010,0.415,0.37,0.424,0.451,0.665,0.794,0.621,0.596,Baixo,326.06,0.48
314210,2010,0.331,0.183,0.386,0.424,0.663,0.827,0.546,0.645,Médio,443.39,0.52
314225,2010,0.453,0.334,0.478,0.546,0.594,0.781,0.492,0.544,Muito Baixo,235.64,0.49
314220,2010,0.228,0.06,0.354,0.271,0.68,0.836,0.567,0.663,Alto,493.91,0.45
314230,2010,0.295,0.212,0.359,0.316,0.638,0.8,0.494,0.657,Alto,477.77,0.43
314240,2010,0.209,0.064,0.279,0.283,0.721,0.848,0.629,0.703,Muito Alto,634.04,0.38
314250,2010,0.387,0.282,0.425,0.455,0.65,0.819,0.548,0.612,Médio,360.58,0.48
314260,2010,0.199,0.078,0.316,0.201,0.72,0.839,0.654,0.682,Muito Alto,555.78,0.4
314270,2010,0.414,0.281,0.494,0.469,0.613,0.799,0.492,0.586,Baixo,305.88,0.54
314280,2010,0.291,0.14,0.406,0.325,0.674,0.848,0.516,0.699,Alto,619.1,0.47
314290,2010,0.375,0.203,0.437,0.485,0.659,0.81,0.578,0.611,Médio,358.13,0.51
314300,2010,0.223,0.04,0.318,0.31,0.688,0.847,0.567,0.677,Alto,539.84,0.46
314310,2010,0.22,0.087,0.32,0.251,0.728,0.868,0.62,0.716,Muito Alto,689.45,0.49
314315,2010,0.519,0.281,0.648,0.627,0.541,0.765,0.396,0.523,Muito Baixo,206.62,0.59
314320,2010,0.233,0.111,0.351,0.237,0.711,0.874,0.595,0.689,Muito Alto,584.09,0.42
314340,2010,0.241,0.073,0.356,0.295,0.724,0.878,0.59,0.732,Muito Alto,760.69,0.44
314330,2010,0.22,0.101,0.257,0.303,0.77,0.868,0.744,0.707,Muito Alto,650.62,0.53
314345,2010,0.355,0.174,0.456,0.436,0.587,0.809,0.425,0.587,Baixo,308.78,0.46
314350,2010,0.269,0.197,0.346,0.265,0.696,0.83,0.59,0.688,Alto,577.61,0.45
314360,2010,0.322,0.183,0.399,0.385,0.648,0.816,0.538,0.619,Médio,376.88,0.46
314370,2010,0.464,0.445,0.499,0.448,0.597,0.809,0.422,0.622,Muito Baixo,382.62,0.48
314380,2010,0.304,0.116,0.39,0.404,0.647,0.821,0.52,0.634,Médio,412.79,0.46
314390,2010,0.216,0.091,0.287,0.27,0.734,0.853,0.634,0.731,Muito Alto,758.46,0.52
314400,2010,0.34,0.173,0.407,0.438,0.643,0.822,0.511,0.635,Médio,415.41,0.49
314410,2010,0.2,0.08,0.273,0.248,0.74,0.858,0.652,0.723,Muito Alto,719.94,0.46
314420,2010,0.373,0.102,0.583,0.434,0.585,0.831,0.377,0.64,Baixo,429.34,0.6
314430,2010,0.32,0.165,0.368,0.428,0.701,0.85,0.609,0.666,Alto,505.55,0.5
314435,2010,0.339,0.168,0.45,0.398,0.675,0.822,0.592,0.632,Médio,408.75,0.43
314437,2010,0.335,0.362,0.313,0.33,0.671,0.846,0.557,0.641,Médio,431.11,0.4
314440,2010,0.288,0.327,0.268,0.268,0.693,0.805,0.612,0.677,Alto,541.69,0.4
314450,2010,0.259,0.103,0.367,0.306,0.69,0.83,0.597,0.662,Alto,491.13,0.47
314460,2010,0.251,0.07,0.361,0.322,0.667,0.822,0.548,0.658,Alto,480.79,0.44
314465,2010,0.457,0.226,0.515,0.629,0.556,0.784,0.419,0.525,Muito Baixo,210.17,0.52
314467,2010,0.332,0.12,0.469,0.407,0.592,0.768,0.48,0.563,Baixo,265.9,0.5
314470,2010,0.292,0.219,0.305,0.353,0.708,0.825,0.639,0.675,Muito Alto,532.58,0.47
314490,2010,0.346,0.092,0.485,0.461,0.63,0.779,0.526,0.61,Médio,355.66,0.5
314500,2010,0.259,0.075,0.415,0.288,0.701,0.835,0.562,0.734,Muito Alto,771.68,0.52
314505,2010,0.368,0.166,0.429,0.508,0.64,0.81,0.556,0.584,Médio,302.09,0.41
314510,2010,0.238,0.031,0.346,0.336,0.671,0.839,0.525,0.687,Alto,576.41,0.45
314520,2010,0.199,0.036,0.338,0.224,0.715,0.864,0.597,0.709,Muito Alto,659.74,0.35
314530,2010,0.499,0.341,0.601,0.554,0.571,0.797,0.415,0.562,Muito Baixo,264.66,0.53
314535,2010,0.555,0.323,0.622,0.72,0.555,0.754,0.4,0.568,Muito Baixo,274.37,0.56
314537,2010,0.433,0.421,0.472,0.405,0.617,0.804,0.5,0.582,Baixo,299.95,0.43
